G,H0+H25+H26+H27+H28+H29+H30+H33+H34+H35
G775348,H28
G775349,H28
G776340,H28
G776341,H28
G776342,H28
G776343,H28
G776344,H28+H29
G776345,H28+H29
G776346,H28+H29
G776347,H28+H29
G776348,H28+H29
G776349,H28+H29
G777340,H28+H29
G777341,H28+H29
G777342,H28+H29
G777343,H28+H29
G777344,H28+H29
G777345,H29
G777346,H29
G777347,H29
G777348,H29
G777349,H29
G778340,H29
G778341,H29
G778342,H29
G778343,H29
G778344,H29
G778345,H29
G778346,H29
G778347,H29
G778348,H29
G778349,H29
G779340,H29
G779341,H29
G779342,H29
G779343,H29
G779344,H29
G779345,H29
G779346,H29
G779347,H29
G779348,H29
G779349,H29
G7735,H28+H29
G770350,H28
G770351,H28
G770352,H28
G770353,H28
G770354,H28
G770355,H28
G770356,H28
G770357,H28
G770358,H28
G770359,H28
G771350,H28
G771351,H28
G771352,H28
G771353,H28
G771354,H28
G771355,H28
G771356,H28
G771357,H28
G771358,H28
G771359,H28
G772350,H28
G772351,H28
G772352,H28
G772353,H28
G772354,H28
G772355,H28
G772356,H28
G772357,H28
G772358,H28
G772359,H28
G773350,H28
G773351,H28
G773352,H28
G773353,H28
G773354,H28
G773355,H28
G773356,H28
G773357,H28
G773358,H28
G773359,H28
G774350,H28
G774351,H28
G774352,H28
G774353,H28
G774354,H28
G774355,H28
G774356,H28
G774357,H28
G774358,H28
G774359,H28
G775350,H28+H29
G775351,H28+H29
G775352,H28+H29
G775353,H28+H29
G775354,H28+H29
G775355,H28+H29
G775356,H28+H29
G775357,H28+H29
G775358,H28+H29
G775359,H28+H29
G776350,H28+H29
G776351,H29
G776352,H29
G776353,H29
G776354,H29
G776355,H29
G776356,H29
G776357,H29
G776358,H29
G776359,H29
G777350,H29
G777351,H29
G777352,H29
G777353,H29
G777354,H29
G777355,H29
G777356,H29
G777357,H29
G777358,H29
G777359,H29
G778350,H29
G778351,H29
G778352,H29
G778353,H29
G778354,H29
G778355,H29
G778356,H29
G778357,H29
G778358,H29
G778359,H29
G779350,H29
G779351,H29
G779352,H29
G779353,H29
G779354,H29
G779355,H29
G779356,H29
G779357,H29
G779358,H29
G779359,H29
G73T,H28+H29
G7636,H28
G7637,H28
G7736,H28+H29
G770360,H28
G770361,H28
G770362,H28
G770363,H28
G770364,H28
G770365,H28
G770366,H28
G770367,H28
G770368,H28
G770369,H28
G771360,H28
G771361,H28
G771362,H28
G771363,H28
G771364,H28
G771365,H28
G771366,H28
G771367,H28
G771368,H28
G771369,H28
G772360,H28
G772361,H28
G772362,H28
G772363,H28
G772364,H28
G772365,H28
G772366,H28
G772367,H28
G772368,H28
G772369,H28
G773360,H28
G773361,H28
G773362,H28
G773363,H28
G773364,H28
G773365,H28
G773366,H28
G773367,H28
G773368,H28
G773369,H28
G774360,H28+H29
G774361,H28+H29
G774362,H28+H29
G774363,H28+H29
G774364,H28+H29
G774365,H28
G774366,H28
G774367,H28
G774368,H28
G774369,H28
G775360,H28+H29
G775361,H29
G775362,H29
G775363,H29
G775364,H28+H29
G775365,H28+H29
G775366,H28+H29
G775367,H28
G775368,H28
G775369,H28
G776360,H29
G776361,H29
G776362,H29
G776363,H29
G776364,H29
G776365,H29
G776366,H28+H29
G776367,H28+H29
G776368,H28+H29
G776369,H28+H29
G777360,H29
G777361,H29
G777362,H29
G777363,H29
G777364,H29
G777365,H29
G777366,H29
G777367,H29
G777368,H29
G777369,H29
G778360,H29
G778361,H29
G778362,H29
G778363,H29
G778364,H29
G778365,H29
G778366,H29
G778367,H29
G778368,H29
G778369,H29
G779360,H29
G779361,H29
G779362,H29
G779363,H29
G779364,H29
G779365,H29
G779366,H29
G779367,H29
G779368,H29
G779369,H29
G7737,H28+H29
G770370,H28
G770371,H28
G770372,H28
G770373,H28
G770374,H28
G770375,H28
G770376,H28
G770377,H28
G770378,H28
G770379,H28
G771370,H28
G771371,H28
G771372,H28
G771373,H28
G771374,H28
G771375,H28
G771376,H28
G771377,H28
G771378,H28
G771379,H28
G772370,H28
G772371,H28
G772372,H28
G772373,H28
G772374,H28
G772375,H28
G772376,H28
G772377,H28
G772378,H28
G772379,H28
G773370,H28
G773371,H28
G773372,H28
G773373,H28
G773374,H28
G773375,H28
G773376,H28
G773377,H28
G773378,H28
G773379,H28
G774370,H28
G774371,H28
G774372,H28
G774373,H28
G774374,H28
G774375,H28
G774376,H28
G774377,H28
G774378,H28
G774379,H28
G775370,H28
G775371,H28
G775372,H28
G775373,H28
G775374,H28+H29
G775375,H28+H29
G775376,H28+H29
G775377,H28+H29
G775378,H28+H29
G775379,H28+H29
G776370,H28+H29
G776371,H28+H29
G776372,H28
G776373,H28+H29
G776374,H28+H29
G776375,H29
G776376,H29
G776377,H29
G776378,H29
G776379,H29
G777370,H29
G777371,H28+H29
G777372,H28+H29
G777373,H28+H29
G777374,H29
G777375,H29
G777376,H29
G777377,H29
G777378,H29
G777379,H29
G778370,H29
G778371,H29
G778372,H29
G778373,H29
G778374,H29
G778375,H29
G778376,H29
G778377,H29
G778378,H29
G778379,H29
G779370,H29
G779371,H29
G779372,H29
G779373,H29
G779374,H29
G779375,H29
G779376,H29
G779377,H29
G779378,H29
G779379,H29
G73U,H28+H29
G7638,H28
G7639,H28+H29
G760390,H28
G760391,H28
G760392,H28
G760393,H28
G760394,H28
G760395,H28
G760396,H28
G760397,H28
G760398,H28
G760399,H28
G761390,H28
G761391,H28
G761392,H28
G761393,H28
G761394,H28
G761395,H28
G761396,H28
G761397,H28
G761398,H28
G761399,H28
G762390,H28
G762391,H28
G762392,H28
G762393,H28
G762394,H28
G762395,H28
G762396,H28
G762397,H28
G762398,H28
G762399,H28
G763390,H28
G763391,H28
G763392,H28
G763393,H28
G763394,H28
G763395,H28
G763396,H28
G763397,H28
G763398,H28
G763399,H28
G764390,H28
G764391,H28
G764392,H28
G764393,H28
G764394,H28
G764395,H28
G764396,H28
G764397,H28
G764398,H28
G764399,H28
G765390,H28
G765391,H28
G765392,H28
G765393,H28
G765394,H28
G765395,H28
G765396,H28
G765397,H28
G765398,H28
G765399,H28
G766390,H28
G766391,H28
G766392,H28
G766393,H28
G766394,H28
G766395,H28
G766396,H28
G766397,H28
G766398,H28
G766399,H28
G767390,H28
G767391,H28
G767392,H28
G767393,H28
G767394,H28
G767395,H28
G767396,H28
G767397,H28
G767398,H28
G767399,H28
G768390,H28
G768391,H28
G768392,H28
G768393,H28
G768394,H28
G768395,H28
G768396,H28
G768397,H28
G768398,H28
G768399,H28
G769390,H28
G769391,H28
G769392,H28
G769393,H28
G769394,H28
G769395,H28
G769396,H28
G769397,H28
G769398,H28
G769399,H28+H29
G7738,H28+H29
G770380,H28
G770381,H28
G770382,H28
G770383,H28
G770384,H28
G770385,H28
G770386,H28
G770387,H28
G770388,H28
G770389,H28
G771380,H28
G771381,H28
G771382,H28
G771383,H28
G771384,H28
G771385,H28
G771386,H28
G771387,H28
G771388,H28
G771389,H28
G772380,H28
G772381,H28
G772382,H28
G772383,H28
G772384,H28
G772385,H28
G772386,H28
G772387,H28
G772388,H28
G772389,H28
G773380,H28
G773381,H28
G773382,H28
G773383,H28
G773384,H28
G773385,H28
G773386,H28
G773387,H28
G773388,H28
G773389,H28
G774380,H28
G774381,H28
G774382,H28
G774383,H28+H29
G774384,H28+H29
G774385,H28+H29
G774386,H28
G774387,H28
G774388,H28
G774389,H28+H29
G775380,H28+H29
G775381,H28+H29
G775382,H28+H29
G775383,H28+H29
G775384,H29
G775385,H28+H29
G775386,H28+H29
G775387,H28+H29
G775388,H28+H29
G775389,H28+H29
G776380,H29
G776381,H29
G776382,H29
G776383,H29
G776384,H29
G776385,H29
G776386,H29
G776387,H29
G776388,H29
G776389,H29
G777380,H29
G777381,H29
G777382,H29
G777383,H29
G777384,H29
G777385,H29
G777386,H29
G777387,H29
G777388,H29
G777389,H29
G778380,H29
G778381,H29
G778382,H29
G778383,H29
G778384,H29
G778385,H29
G778386,H29
G778387,H29
G778388,H29
G778389,H29
G779380,H29
G779381,H29
G779382,H29
G779383,H29
G779384,H29
G779385,H29
G779386,H29
G779387,H29
G779388,H29
G779389,H29
G7739,H28+H29
G770390,H28
G770391,H28
G770392,H28
G770393,H28
G770394,H28
G770395,H28
G770396,H28
G770397,H28
G770398,H28+H29
G770399,H28+H29
G771390,H28
G771391,H28
G771392,H28
G771393,H28
G771394,H28
G771395,H28
G771396,H28
G771397,H28
G771398,H28+H29
G771399,H29
G772390,H28
G772391,H28
G772392,H28
G772393,H28
G772394,H28
G772395,H28
G772396,H28
G772397,H28+H29
G772398,H28+H29
G772399,H29
G773390,H28
G773391,H28+H29
G773392,H28+H29
G773393,H28+H29
G773394,H28+H29
G773395,H28+H29
G773396,H28+H29
G773397,H28+H29
G773398,H29
G773399,H29
G774390,H28+H29
G774391,H28+H29
G774392,H29
G774393,H28+H29
G774394,H29
G774395,H29
G774396,H29
G774397,H29
G774398,H29
G774399,H29
G775390,H29
G775391,H29
G775392,H29
G775393,H29
G775394,H29
G775395,H29
G775396,H29
G775397,H29
G775398,H29
G775399,H29
G776390,H29
G776391,H29
G776392,H29
G776393,H29
G776394,H29
G776395,H29
G776396,H29
G776397,H29
G776398,H29
G776399,H29
G777390,H29
G777391,H29
G777392,H29
G777393,H29
G777394,H29
G777395,H29
G777396,H29
G777397,H29
G777398,H29
G777399,H29
G778390,H29
G778391,H29
G778392,H29
G778393,H29
G778394,H29
G778395,H29
G778396,H29
G778397,H29
G778398,H29
G778399,H29
G779390,H29
G779391,H29
G779392,H29
G779393,H29
G779394,H29
G779395,H29
G779396,H29
G779397,H29
G779398,H29
G779399,H29
G73V,H28+H29
G7830,H28+H29
G780300,H28+H29
G780301,H28+H29
G780302,H29
G780303,H29
G780304,H29
G780305,H29
G780306,H29
G780307,H29
G780308,H29
G780309,H28+H29
G781300,H28+H29
G781301,H29
G781302,H29
G781303,H29
G781304,H29
G781305,H29
G781306,H29
G781307,H29
G781308,H29
G781309,H29
G782300,H29
G782301,H29
G782302,H29
G782303,H29
G782304,H29
G782305,H29
G782306,H29
G782307,H29
G782308,H29
G782309,H29
G783300,H29
G783301,H29
G783302,H29
G783303,H29
G783304,H29
G783305,H29
G783306,H29
G783307,H29
G783308,H29
G783309,H29
G784300,H29
G784301,H29
G784302,H29
G784303,H29
G784304,H29
G784305,H29
G784306,H29
G784307,H29
G784308,H29
G784309,H29
G785300,H29
G785301,H29
G785302,H29
G785303,H29
G785304,H29
G785305,H29
G785306,H29
G785307,H29
G785308,H29
G785309,H29
G786300,H29
G786301,H29
G786302,H29
G786303,H29
G786304,H29
G786305,H29
G786306,H29
G786307,H29
G786308,H29
G786309,H29
G787300,H29
G787301,H29
G787302,H29
G787303,H29
G787304,H29
G787305,H29
G787306,H29
G787307,H29
G787308,H29
G787309,H29
G788300,H29
G788301,H29
G788302,H29
G788303,H29
G788304,H29
G788305,H29
G788306,H29
G788307,H29
G788308,H29
G788309,H29
G789300,H29
G789301,H29
G789302,H29
G789303,H29
G789304,H29
G789305,H29
G789306,H29
G789307,H29
G789308,H29
G789309,H29
G7831,H28+H29
G780310,H28+H29
G780311,H28+H29
G780312,H28+H29
G780313,H28+H29
G780314,H28+H29
G780315,H28+H29
G780316,H28+H29
G780317,H28+H29
G780318,H28
G780319,H28
G781310,H29
G781311,H29
G781312,H29
G781313,H29
G781314,H29
G781315,H29
G781316,H28+H29
G781317,H28+H29
G781318,H28+H29
G781319,H28+H29
G782310,H29
G782311,H29
G782312,H29
G782313,H29
G782314,H29
G782315,H29
G782316,H29
G782317,H29
G782318,H29
G782319,H29
G783310,H29
G783311,H29
G783312,H29
G783313,H29
G783314,H29
G783315,H29
G783316,H29
G783317,H29
G783318,H29
G783319,H29
G784310,H29
G784311,H29
G784312,H29
G784313,H29
G784314,H29
G784315,H29
G784316,H29
G784317,H29
G784318,H29
G784319,H29
G785310,H29
G785311,H29
G785312,H29
G785313,H29
G785314,H29
G785315,H29
G785316,H29
G785317,H29
G785318,H29
G785319,H29
G786310,H29
G786311,H29
G786312,H29
G786313,H29
G786314,H29
G786315,H29
G786316,H29
G786317,H29
G786318,H29
G786319,H29
G787310,H29
G787311,H29
G787312,H29
G787313,H29
G787314,H29
G787315,H29
G787316,H29
G787317,H29
G787318,H29
G787319,H29
G788310,H29
G788311,H29
G788312,H29
G788313,H29
G788314,H29
G788315,H29
G788316,H29
G788317,H29
G788318,H29
G788319,H29
G789310,H29
G789311,H29
G789312,H29
G789313,H29
G789314,H29
G789315,H29
G789316,H29
G789317,H29
G789318,H29
G789319,H29
G7930,H29
G7931,H29
G73W,H28+H29
G7832,H28+H29
G780320,H28
G780321,H28
G780322,H28
G780323,H28
G780324,H28
G780325,H28
G780326,H28
G780327,H28
G780328,H28
G780329,H28
G781320,H28+H29
G781321,H28+H29
G781322,H28+H29
G781323,H28
G781324,H28
G781325,H28
G781326,H28
G781327,H28
G781328,H28
G781329,H28
G782320,H28+H29
G782321,H28+H29
G782322,H28+H29
G782323,H28
G782324,H28
G782325,H28
G782326,H28+H29
G782327,H28+H29
G782328,H28+H29
G782329,H28+H29
G783320,H29
G783321,H29
G783322,H28+H29
G783323,H28+H29
G783324,H28+H29
G783325,H28+H29
G783326,H28+H29
G783327,H29
G783328,H29
G783329,H29
G784320,H29
G784321,H29
G784322,H29
G784323,H28+H29
G784324,H28+H29
G784325,H29
G784326,H29
G784327,H29
G784328,H29
G784329,H29
G785320,H29
G785321,H29
G785322,H29
G785323,H29
G785324,H29
G785325,H29
G785326,H29
G785327,H29
G785328,H29
G785329,H29
G786320,H29
G786321,H29
G786322,H29
G786323,H29
G786324,H29
G786325,H29
G786326,H29
G786327,H29
G786328,H29
G786329,H29
G787320,H29
G787321,H29
G787322,H29
G787323,H29
G787324,H29
G787325,H29
G787326,H29
G787327,H29
G787328,H29
G787329,H29
G788320,H29
G788321,H29
G788322,H29
G788323,H29
G788324,H29
G788325,H29
G788326,H29
G788327,H29
G788328,H29
G788329,H29
G789320,H29
G789321,H29
G789322,H29
G789323,H29
G789324,H29
G789325,H29
G789326,H29
G789327,H29
G789328,H29
G789329,H29
G7833,H28+H29
G780330,H28
G780331,H28
G780332,H28
G780333,H28
G780334,H28+H29
G780335,H29
G780336,H29
G780337,H29
G780338,H29
G780339,H29
G781330,H28
G781331,H28
G781332,H28
G781333,H28+H29
G781334,H28+H29
G781335,H29
G781336,H29
G781337,H29
G781338,H29
G781339,H29
G782330,H28+H29
G782331,H28+H29
G782332,H28+H29
G782333,H28+H29
G782334,H29
G782335,H29
G782336,H29
G782337,H29
G782338,H29
G782339,H29
G783330,H29
G783331,H29
G783332,H29
G783333,H29
G783334,H29
G783335,H29
G783336,H29
G783337,H29
G783338,H29
G783339,H29
G784330,H29
G784331,H29
G784332,H29
G784333,H29
G784334,H29
G784335,H29
G784336,H29
G784337,H29
G784338,H29
G784339,H29
G785330,H29
G785331,H29
G785332,H29
G785333,H29
G785334,H29
G785335,H29
G785336,H29
G785337,H29
G785338,H29
G785339,H29
G786330,H29
G786331,H29
G786332,H29
G786333,H29
G786334,H29
G786335,H29
G786336,H29
G786337,H29
G786338,H29
G786339,H29
G787330,H29
G787331,H29
G787332,H29
G787333,H29
G787334,H29
G787335,H29
G787336,H29
G787337,H29
G787338,H29
G787339,H29
G788330,H29
G788331,H29
G788332,H29
G788333,H29
G788334,H29
G788335,H29
G788336,H29
G788337,H29
G788338,H29
G788339,H29
G789330,H29
G789331,H29
G789332,H29
G789333,H29
G789334,H29
G789335,H29
G789336,H29
G789337,H29
G789338,H29
G789339,H29
G7932,H29
G7933,H29
G73X,H29
G73Y,H29
G73Z,H29
G74,H28+H29
G74SW,H28+H29
G74NW,H28+H29
G74SE,H28+H29
G74NE,H28+H29
G74A,H28
G74B,H28
G74C,H28
G74D,H28
G74E,H28
G74F,H28
G74G,H28
G74H,H28
G74I,H28
G74J,H28
G74K,H28+H29
G7440,H28
G7441,H28+H29
G740410,H28
G740411,H28
G740412,H28
G740413,H28
G740414,H28
G740415,H28
G740416,H28
G740417,H28
G740418,H28
G740419,H28
G741410,H28
G741411,H28
G741412,H28
G741413,H28
G741414,H28
G741415,H28
G741416,H28
G741417,H28
G741418,H28
G741419,H28
G742410,H28
G742411,H28
G742412,H28
G742413,H28
G742414,H28
G742415,H28
G742416,H28
G742417,H28
G742418,H28
G742419,H28
G743410,H28
G743411,H28
G743412,H28
G743413,H28
G743414,H28
G743415,H28
G743416,H28
G743417,H28
G743418,H28
G743419,H28
G744410,H28
G744411,H28
G744412,H28
G744413,H28
G744414,H28
G744415,H28
G744416,H28
G744417,H28
G744418,H28
G744419,H28
G745410,H28
G745411,H28
G745412,H28
G745413,H28
G745414,H28
G745415,H28
G745416,H28
G745417,H28
G745418,H28
G745419,H28
G746410,H28
G746411,H28
G746412,H28
G746413,H28+H29
G746414,H28
G746415,H28
G746416,H28
G746417,H28
G746418,H28
G746419,H28
G747410,H28
G747411,H28
G747412,H28+H29
G747413,H28+H29
G747414,H28+H29
G747415,H28+H29
G747416,H28
G747417,H28
G747418,H28
G747419,H28
G748410,H28
G748411,H28+H29
G748412,H28+H29
G748413,H29
G748414,H29
G748415,H28+H29
G748416,H28+H29
G748417,H28+H29
G748418,H28+H29
G748419,H28+H29
G749410,H28+H29
G749411,H28+H29
G749412,H29
G749413,H29
G749414,H29
G749415,H29
G749416,H29
G749417,H29
G749418,H29
G749419,H28+H29
G7540,H28+H29
G750400,H28
G750401,H28
G750402,H28
G750403,H28
G750404,H28
G750405,H28
G750406,H28
G750407,H28
G750408,H28
G750409,H28+H29
G751400,H28
G751401,H28
G751402,H28
G751403,H28
G751404,H28
G751405,H28
G751406,H28
G751407,H28
G751408,H28+H29
G751409,H28+H29
G752400,H28
G752401,H28
G752402,H28
G752403,H28
G752404,H28
G752405,H28
G752406,H28
G752407,H28
G752408,H28+H29
G752409,H29
G753400,H28
G753401,H28
G753402,H28
G753403,H28
G753404,H28
G753405,H28
G753406,H28
G753407,H28
G753408,H28+H29
G753409,H29
G754400,H28
G754401,H28
G754402,H28
G754403,H28
G754404,H28
G754405,H28
G754406,H28
G754407,H28
G754408,H28+H29
G754409,H29
G755400,H28
G755401,H28
G755402,H28
G755403,H28
G755404,H28
G755405,H28
G755406,H28+H29
G755407,H28+H29
G755408,H28+H29
G755409,H29
G756400,H28
G756401,H28
G756402,H28
G756403,H28
G756404,H28
G756405,H28
G756406,H28+H29
G756407,H28+H29
G756408,H28+H29
G756409,H29
G757400,H28
G757401,H28
G757402,H28
G757403,H28
G757404,H28
G757405,H28
G757406,H28+H29
G757407,H29
G757408,H29
G757409,H29
G758400,H28
G758401,H28
G758402,H28
G758403,H28
G758404,H28
G758405,H28
G758406,H28+H29
G758407,H29
G758408,H29
G758409,H29
G759400,H28
G759401,H28
G759402,H28
G759403,H28
G759404,H28
G759405,H28
G759406,H28+H29
G759407,H29
G759408,H29
G759409,H29
G7541,H28+H29
G750410,H28+H29
G750411,H29
G750412,H29
G750413,H29
G750414,H29
G750415,H29
G750416,H29
G750417,H29
G750418,H29
G750419,H29
G751410,H29
G751411,H29
G751412,H29
G751413,H29
G751414,H29
G751415,H29
G751416,H29
G751417,H29
G751418,H29
G751419,H29
G752410,H29
G752411,H29
G752412,H29
G752413,H29
G752414,H29
G752415,H29
G752416,H29
G752417,H29
G752418,H29
G752419,H29
G753410,H29
G753411,H29
G753412,H29
G753413,H29
G753414,H29
G753415,H29
G753416,H29
G753417,H29
G753418,H29
G753419,H29
G754410,H29
G754411,H29
G754412,H29
G754413,H29
G754414,H29
G754415,H29
G754416,H29
G754417,H29
G754418,H29
G754419,H29
G755410,H29
G755411,H29
G755412,H29
G755413,H29
G755414,H29
G755415,H29
G755416,H29
G755417,H29
G755418,H29
G755419,H29
G756410,H29
G756411,H29
G756412,H29
G756413,H29
G756414,H29
G756415,H29
G756416,H29
G756417,H29
G756418,H29
G756419,H29
G757410,H29
G757411,H29
G757412,H29
G757413,H29
G757414,H29
G757415,H29
G757416,H29
G757417,H29
G757418,H29
G757419,H29
G758410,H29
G758411,H29
G758412,H29
G758413,H29
G758414,H29
G758415,H29
G758416,H29
G758417,H29
G758418,H29
G758419,H29
G759410,H29
G759411,H29
G759412,H29
G759413,H29
G759414,H29
G759415,H29
G759416,H29
G759417,H29
G759418,H29
G759419,H29
G74L,H28+H29
G7442,H28+H29
G740420,H28
G740421,H28
G740422,H28
G740423,H28
G740424,H28
G740425,H28
G740426,H28
G740427,H28
G740428,H28
G740429,H28
G741420,H28
G741421,H28
G741422,H28
G741423,H28
G741424,H28
G741425,H28
G741426,H28
G741427,H28
G741428,H28
G741429,H28
G742420,H28
G742421,H28
G742422,H28
G742423,H28
G742424,H28
G742425,H28
G742426,H28
G742427,H28
G742428,H28
G742429,H28
G743420,H28
G743421,H28
G743422,H28
G743423,H28
G743424,H28
G743425,H28
G743426,H28
G743427,H28
G743428,H28
G743429,H28
G744420,H28
G744421,H28
G744422,H28
G744423,H28
G744424,H28
G744425,H28
G744426,H28
G744427,H28
G744428,H28
G744429,H28
G745420,H28
G745421,H28
G745422,H28
G745423,H28
G745424,H28
G745425,H28
G745426,H28
G745427,H28
G745428,H28
G745429,H28
G746420,H28
G746421,H28
G746422,H28
G746423,H28
G746424,H28
G746425,H28
G746426,H28
G746427,H28+H29
G746428,H28+H29
G746429,H28+H29
G747420,H28
G747421,H28
G747422,H28
G747423,H28
G747424,H28
G747425,H28+H29
G747426,H28+H29
G747427,H28+H29
G747428,H29
G747429,H29
G748420,H28
G748421,H28
G748422,H28
G748423,H28+H29
G748424,H28+H29
G748425,H28+H29
G748426,H29
G748427,H29
G748428,H29
G748429,H29
G749420,H28+H29
G749421,H28+H29
G749422,H28+H29
G749423,H28+H29
G749424,H29
G749425,H29
G749426,H29
G749427,H29
G749428,H29
G749429,H29
G7443,H28+H29
G740430,H28
G740431,H28
G740432,H28
G740433,H28
G740434,H28
G740435,H28
G740436,H28
G740437,H28
G740438,H28
G740439,H28
G741430,H28
G741431,H28
G741432,H28
G741433,H28
G741434,H28
G741435,H28
G741436,H28
G741437,H28
G741438,H28
G741439,H28
G742430,H28
G742431,H28
G742432,H28
G742433,H28
G742434,H28
G742435,H28
G742436,H28
G742437,H28
G742438,H28
G742439,H28
G743430,H28
G743431,H28
G743432,H28
G743433,H28
G743434,H28
G743435,H28
G743436,H28
G743437,H28
G743438,H28
G743439,H28
G744430,H28
G744431,H28
G744432,H28
G744433,H28
G744434,H28
G744435,H28
G744436,H28
G744437,H28
G744438,H28
G744439,H28
G745430,H28
G745431,H28
G745432,H28
G745433,H28
G745434,H28
G745435,H28
G745436,H28+H29
G745437,H28+H29
G745438,H28+H29
G745439,H28+H29
G746430,H28+H29
G746431,H28+H29
G746432,H28+H29
G746433,H28+H29
G746434,H28+H29
G746435,H28+H29
G746436,H28+H29
G746437,H29
G746438,H29
G746439,H29
G747430,H29
G747431,H29
G747432,H29
G747433,H29
G747434,H29
G747435,H29
G747436,H29
G747437,H29
G747438,H29
G747439,H29
G748430,H29
G748431,H29
G748432,H29
G748433,H29
G748434,H29
G748435,H29
G748436,H29
G748437,H29
G748438,H29
G748439,H29
G749430,H29
G749431,H29
G749432,H29
G749433,H29
G749434,H29
G749435,H29
G749436,H29
G749437,H29
G749438,H29
G749439,H29
G7542,H29
G7543,H29
G74M,H28+H29
G7444,H28+H29
G740440,H28
G740441,H28
G740442,H28
G740443,H28
G740444,H28
G740445,H28
G740446,H28
G740447,H28
G740448,H28
G740449,H28
G741440,H28
G741441,H28
G741442,H28
G741443,H28
G741444,H28
G741445,H28
G741446,H28
G741447,H28
G741448,H28
G741449,H28
G742440,H28
G742441,H28
G742442,H28
G742443,H28
G742444,H28
G742445,H28
G742446,H28
G742447,H28
G742448,H28
G742449,H28
G743440,H28
G743441,H28
G743442,H28
G743443,H28
G743444,H28
G743445,H28
G743446,H28
G743447,H28
G743448,H28
G743449,H28+H29
G744440,H28
G744441,H28
G744442,H28
G744443,H28+H29
G744444,H28+H29
G744445,H28
G744446,H28
G744447,H28+H29
G744448,H28+H29
G744449,H28+H29
G745440,H28+H29
G745441,H28+H29
G745442,H28+H29
G745443,H28+H29
G745444,H28+H29
G745445,H28+H29
G745446,H28+H29
G745447,H28+H29
G745448,H29
G745449,H29
G746440,H29
G746441,H29
G746442,H29
G746443,H29
G746444,H29
G746445,H29
G746446,H29
G746447,H29
G746448,H29
G746449,H29
G747440,H29
G747441,H29
G747442,H29
G747443,H29
G747444,H29
G747445,H29
G747446,H29
G747447,H29
G747448,H29
G747449,H29
G748440,H29
G748441,H29
G748442,H29
G748443,H29
G748444,H29
G748445,H29
G748446,H29
G748447,H29
G748448,H29
G748449,H29
G749440,H29
G749441,H29
G749442,H29
G749443,H29
G749444,H29
G749445,H29
G749446,H29
G749447,H29
G749448,H29
G749449,H29
G7445,H28+H29
G740450,H28
G740451,H28
G740452,H28
G740453,H28
G740454,H28
G740455,H28
G740456,H28+H29
G740457,H28+H29
G740458,H28
G740459,H28
G741450,H28
G741451,H28
G741452,H28
G741453,H28+H29
G741454,H28+H29
G741455,H28+H29
G741456,H28+H29
G741457,H28+H29
G741458,H28
G741459,H28
G742450,H28
G742451,H28
G742452,H28+H29
G742453,H28+H29
G742454,H29
G742455,H29
G742456,H29
G742457,H28+H29
G742458,H28
G742459,H28
G743450,H28+H29
G743451,H28+H29
G743452,H28+H29
G743453,H29
G743454,H29
G743455,H29
G743456,H29
G743457,H28+H29
G743458,H28
G743459,H28
G744450,H29
G744451,H29
G744452,H29
G744453,H29
G744454,H29
G744455,H29
G744456,H29
G744457,H28+H29
G744458,H28
G744459,H28
G745450,H29
G745451,H29
G745452,H29
G745453,H29
G745454,H29
G745455,H29
G745456,H29
G745457,H28+H29
G745458,H28
G745459,H28
G746450,H29
G746451,H29
G746452,H29
G746453,H29
G746454,H29
G746455,H29
G746456,H29
G746457,H28+H29
G746458,H28+H29
G746459,H28
G747450,H29
G747451,H29
G747452,H29
G747453,H29
G747454,H29
G747455,H29
G747456,H29
G747457,H29
G747458,H28+H29
G747459,H28
G748450,H29
G748451,H29
G748452,H29
G748453,H29
G748454,H29
G748455,H29
G748456,H29
G748457,H29
G748458,H28+H29
G748459,H28+H29
G749450,H29
G749451,H29
G749452,H29
G749453,H29
G749454,H29
G749455,H29
G749456,H29
G749457,H29
G749458,H29
G749459,H28+H29
G7544,H29
G7545,H29
G74N,H28+H29
G7446,H28+H29
G740460,H28
G740461,H28
G740462,H28
G740463,H28
G740464,H28
G740465,H28
G740466,H28
G740467,H28
G740468,H28
G740469,H28
G741460,H28
G741461,H28
G741462,H28
G741463,H28
G741464,H28
G741465,H28
G741466,H28
G741467,H28
G741468,H28
G741469,H28
G742460,H28
G742461,H28
G742462,H28
G742463,H28
G742464,H28
G742465,H28
G742466,H28
G742467,H28
G742468,H28
G742469,H28
G743460,H28
G743461,H28
G743462,H28
G743463,H28
G743464,H28
G743465,H28
G743466,H28
G743467,H28
G743468,H28
G743469,H28
G744460,H28
G744461,H28
G744462,H28
G744463,H28
G744464,H28
G744465,H28
G744466,H28
G744467,H28
G744468,H28
G744469,H28
G745460,H28
G745461,H28
G745462,H28
G745463,H28
G745464,H28
G745465,H28
G745466,H28
G745467,H28
G745468,H28
G745469,H28
G746460,H28
G746461,H28
G746462,H28
G746463,H28
G746464,H28
G746465,H28
G746466,H28
G746467,H28
G746468,H28
G746469,H28
G747460,H28
G747461,H28
G747462,H28
G747463,H28
G747464,H28
G747465,H28
G747466,H28
G747467,H28
G747468,H28
G747469,H28
G748460,H28
G748461,H28
G748462,H28
G748463,H28
G748464,H28
G748465,H28
G748466,H28
G748467,H28
G748468,H28
G748469,H28
G749460,H28+H29
G749461,H28
G749462,H28
